pmcid,trn,registry
PMC8006606,UMIN:000000562,UMIN-CTR
PMC8006606,NCT00418041,ClinicalTrials.gov
PMC8006617,DRKS00011615,DRKS
PMC8006725,DRKS00015615,DRKS
PMC8008435,NCT02425644,ClinicalTrials.gov
PMC8009170,NCT01312350,ClinicalTrials.gov
PMC8014826,NCT04601090,ClinicalTrials.gov
PMC8019197,NCT02077881,ClinicalTrials.gov
PMC8019197,NCT03414229,ClinicalTrials.gov
PMC8019197,NCT03432676,ClinicalTrials.gov
PMC8019197,NCT02077881,ClinicalTrials.gov
PMC8021382,NCT03850340,ClinicalTrials.gov
PMC8024658,NCT 01768585,ClinicalTrials.gov
PMC8024658,2012â€“001989-15,EudraCT
PMC8027567,201802020016,EudraCT
PMC8045915,201704020214,EudraCT
PMC8053869,201803040003,EudraCT
PMC8078262,NCT02853344,ClinicalTrials.gov
PMC8078262,NCT02853344,ClinicalTrials.gov
PMC8078262,NCT02853344,ClinicalTrials.gov
PMC8089082,NCT01923051,ClinicalTrials.gov
PMC8096327,NCT02138734,ClinicalTrials.gov
PMC8096327,NCT02138734,ClinicalTrials.gov
PMC8096327,NCT03022825,ClinicalTrials.gov
PMC8120369,NCT03128528,ClinicalTrials.gov
PMC8120369,NCT03128528,ClinicalTrials.gov
PMC8122242,UMIN000012045,UMIN-CTR
PMC8153979,201603250060,EudraCT
PMC8176840,NCT02274428,ClinicalTrials.gov
PMC8180376,NCT02825394,ClinicalTrials.gov
PMC8180376,NCT02825394,ClinicalTrials.gov
PMC8191476,NCT02969356,ClinicalTrials.gov
PMC8191476,NCT02969356,ClinicalTrials.gov
PMC8195962,NCT03988088,ClinicalTrials.gov
PMC8195962,NCT03252015,ClinicalTrials.gov
PMC8195962,NCT00883051,ClinicalTrials.gov
PMC8195962,NCT03465436,ClinicalTrials.gov
PMC8200343,NCT02780167,ClinicalTrials.gov
PMC8200343,NCT03349060,ClinicalTrials.gov
PMC8200343,NCT03575871,ClinicalTrials.gov
PMC8218596,UMIN000040708,UMIN-CTR
PMC8221703,UMIN000004490,UMIN-CTR
PMC8236676,IRCT20190222042803N1,IRCT
PMC8236676,IRCT20190222042803N1,IRCT
PMC8236676,IRCT20190222042803N1,IRCT
PMC8238023,NCT03495388,ClinicalTrials.gov
PMC8246018,ChiCTR2000030970,ChiCTR
PMC8246616,NCT03192410,ClinicalTrials.gov
PMC8256836,NCT01597622,ClinicalTrials.gov
PMC8256836,NCT01345253,ClinicalTrials.gov
PMC8256836,NCT01484496,ClinicalTrials.gov
PMC8256836,NCT01597622,ClinicalTrials.gov
PMC8258074,ChiCTR1900027451,ChiCTR
PMC8259428,DRKS00016605,DRKS
PMC8265363,NCT01740427,ClinicalTrials.gov
PMC8265363,NCT01942135,ClinicalTrials.gov
PMC8265363,NCT01740427,ClinicalTrials.gov
PMC8265363,NCT01942135,ClinicalTrials.gov
PMC8265923,UMIN000029132,UMIN-CTR
PMC8273841,NCT01363544,ClinicalTrials.gov
PMC8273841,NCT01363544,ClinicalTrials.gov
PMC8280951,NCT01833104,ClinicalTrials.gov
PMC8287600,PACTR201804003064160,PACTR
PMC8299156,201906635011,EudraCT
PMC8305757,IRCT 20100512003915N20,IRCT
PMC8322787,DRKS00020533,DRKS
PMC8322787,NCT04678258,ClinicalTrials.gov
PMC8323132,NCT04381234,ClinicalTrials.gov
PMC8323864,NCT03616834,ClinicalTrials.gov
PMC8323864,NCT04622007,ClinicalTrials.gov
PMC8350004,ISRCTN14848787,ISRCTN
PMC8353912,NCT03769506,ClinicalTrials.gov
PMC8359274,201507720006,EudraCT
PMC8359283,NCT03442777,ClinicalTrials.gov
PMC8359427,NCT04269629,ClinicalTrials.gov
PMC8361986,NCT01041989,ClinicalTrials.gov
PMC8367657,NL63,NTR
PMC8367657,C000052955,UMIN-CTR
PMC8367657,C000036701,UMIN-CTR
PMC8367657,C000012503,UMIN-CTR
PMC8367657,C000004175,UMIN-CTR
PMC8367657,C000014210,UMIN-CTR
PMC8367657,C000003927,UMIN-CTR
PMC8373830,NL11,NTR
PMC8374743,NCT03349060,ClinicalTrials.gov
PMC8374743,NCT03575871,ClinicalTrials.gov
PMC8374743,NCT03796676,ClinicalTrials.gov
PMC8381433,UMIN000036097,UMIN-CTR
PMC8390327,NL 78,NTR
PMC8390327,NL 111,NTR
PMC8390327,NL 111,NTR
PMC8390327,NL 133,NTR
PMC8390327,NL 147,NTR
PMC8411479,NCT02747251,ClinicalTrials.gov
PMC8423660,UMIN000004575,UMIN-CTR
PMC8435827,201908350095,EudraCT
PMC8453520,NCT02861534,ClinicalTrials.gov
PMC8453748,NCT02577003,ClinicalTrials.gov
PMC8453748,NCT02564211,ClinicalTrials.gov
PMC8475051,ISRCTN10623443,ISRCTN
PMC8478793,NL557,NTR
PMC8478793,NL010,NTR
PMC8478793,NL577,NTR
PMC8478793,NL557,NTR
PMC8485609,NCT02168842,ClinicalTrials.gov
PMC8487208,NCT02562755,ClinicalTrials.gov
PMC8489938,NCT03671265,ClinicalTrials.gov
PMC8489938,NCT04426955,ClinicalTrials.gov
PMC8494515,NCT02750085,ClinicalTrials.gov
PMC8496413,NCT04420962,ClinicalTrials.gov
PMC8500489,jRCTs031200106,jRCT
PMC8504229,nL 194,NTR
PMC8506249,IRCT20130329012869N2,IRCT
PMC8516509,NCT02706873,ClinicalTrials.gov
PMC8516509,NCT02706951,ClinicalTrials.gov
PMC8524287,NCT02788773,ClinicalTrials.gov
PMC8524287,NCT02601014,ClinicalTrials.gov
PMC8524287,NCT02985957,ClinicalTrials.gov
PMC8532585,NCT02921139,ClinicalTrials.gov
PMC8552567,NCT01830959,ClinicalTrials.gov
PMC8556752,ACTRN12618001762246,ANZCTR
PMC8560147,NCT01859988,ClinicalTrials.gov
PMC8560147,NCT02277743,ClinicalTrials.gov
PMC8560147,NCT02277769,ClinicalTrials.gov
PMC8560147,NCT02260986,ClinicalTrials.gov
PMC8560147,NCT02755649,ClinicalTrials.gov
PMC8561126,NCT04541082,ClinicalTrials.gov
PMC8561126,NCT03173950,ClinicalTrials.gov
PMC8561126,NCT00826241,ClinicalTrials.gov
PMC8561126,NCT03251989,ClinicalTrials.gov
PMC8561126,NCT02851706,ClinicalTrials.gov
PMC8561126,NCT03251989,ClinicalTrials.gov
PMC8577151,201903007834,EudraCT
PMC8579873,ChiCTR1900027404,ChiCTR
PMC8579873,ChiCTR1900027404,ChiCTR
PMC8590077,201904010464,EudraCT
PMC8605955,NCT04002700,ClinicalTrials.gov
PMC8605955,NCT04002700,ClinicalTrials.gov
PMC8608774,NCT01417598,ClinicalTrials.gov
PMC8610312,201803020002,EudraCT
PMC8612137,NCT02593201,ClinicalTrials.gov
PMC8647262,IRCT20200127046275N1,IRCT
PMC8648634,NCT02303002,ClinicalTrials.gov
PMC8648634,NCT03014622,ClinicalTrials.gov
PMC8648634,NCT03014635,ClinicalTrials.gov
PMC8648634,NCT03004248,ClinicalTrials.gov
PMC8662959,NCT04510207,ClinicalTrials.gov
PMC8662959,NCT04510207,ClinicalTrials.gov
PMC8662959,NCT04510207,ClinicalTrials.gov
PMC8662959,NCT04510207,ClinicalTrials.gov
PMC8662959,NCT04510207,ClinicalTrials.gov
PMC8710120,NCT01643187,ClinicalTrials.gov
PMC8712907,NCT03128528,ClinicalTrials.gov
PMC8713010,NL6435,NTR
PMC8714017,NCT03286374,ClinicalTrials.gov
PMC8719348,NCT03494699,ClinicalTrials.gov
PMC8749962,201406890016,EudraCT
PMC8753277,KCT0004670,CRiS
PMC8753994,NCT03328299,ClinicalTrials.gov
PMC8754096,NCT02578940,ClinicalTrials.gov
PMC8760989,NCT03093220,ClinicalTrials.gov
PMC8760989,NCT03093220,ClinicalTrials.gov
PMC8762141,NCT02506933,ClinicalTrials.gov
PMC8762141,NCT02146924,ClinicalTrials.gov
PMC8762141,NCT02153580,ClinicalTrials.gov
PMC8762141,NCT01953900,ClinicalTrials.gov
PMC8771815,IRCT20151107024909N10,IRCT
PMC8771815,IRCT20151107024909N10,IRCT
PMC8772438,NCT04198701,ClinicalTrials.gov
PMC8802728,CTRI/2017/03/008022,CTRI
PMC8814304,NCT02832193,ClinicalTrials.gov
PMC8814304,ISRCTN18978802,ISRCTN
PMC8814304,2008-007237-47,EudraCT
PMC8827068,NCT03653689,ClinicalTrials.gov
PMC8842457,NCT03528863,ClinicalTrials.gov
PMC8847802,NCT04126252,ClinicalTrials.gov
PMC8851657,202102310548,EudraCT
PMC8857363,NCT02006615,ClinicalTrials.gov
PMC8867313,DRKS00013231,DRKS
PMC8882940,NCT03323151,ClinicalTrials.gov
PMC8882940,NCT04047797,ClinicalTrials.gov
PMC8882940,NCT02632396,ClinicalTrials.gov
PMC8882940,NCT02339922,ClinicalTrials.gov
PMC8882940,NCT03616782,ClinicalTrials.gov
PMC8882940,NCT03206970,ClinicalTrials.gov
PMC8882940,NCT02343120,ClinicalTrials.gov
PMC8882940,NCT03161483,ClinicalTrials.gov
PMC8882940,NCT04434196,ClinicalTrials.gov
PMC8882940,NCT03235544,ClinicalTrials.gov
PMC8882940,NCT03456726,ClinicalTrials.gov
PMC8882940,NCT04234061,ClinicalTrials.gov
PMC8882940,NCT03676504,ClinicalTrials.gov
PMC8882940,NCT04323657,ClinicalTrials.gov
PMC8882940,NCT03625037,ClinicalTrials.gov
PMC8882940,NCT02736617,ClinicalTrials.gov
PMC8882940,NCT03229382,ClinicalTrials.gov
PMC8882940,NCT02793583,ClinicalTrials.gov
PMC8882940,NCT03478514,ClinicalTrials.gov
PMC8882940,NCT03235544,ClinicalTrials.gov
PMC8882940,NCT03740529,ClinicalTrials.gov
PMC8882940,NCT05076097,ClinicalTrials.gov
PMC8882940,NCT03629873,ClinicalTrials.gov
PMC8882940,NCT02420795,ClinicalTrials.gov
PMC8882940,NCT04398953,ClinicalTrials.gov
PMC8882940,NCT03235544,ClinicalTrials.gov
PMC8882940,NCT04282018,ClinicalTrials.gov
PMC8882940,NCT02952508,ClinicalTrials.gov
PMC8882940,NCT03037645,ClinicalTrials.gov
PMC8882940,NCT03997968,ClinicalTrials.gov
PMC8882940,NCT03153202,ClinicalTrials.gov
PMC8882940,NCT04763083,ClinicalTrials.gov
PMC8882940,NCT02825836,ClinicalTrials.gov
PMC8882940,NCT04082936,ClinicalTrials.gov
PMC8882940,NCT04072458,ClinicalTrials.gov
PMC8902179,NCT03406845,ClinicalTrials.gov
PMC8922213,NCT04510012,ClinicalTrials.gov
PMC8922213,NCT04510012,ClinicalTrials.gov
PMC8935403,202102020147,EudraCT
PMC8948332,CTRI/2019/01/016982,CTRI
PMC8983315,NCT04798235,ClinicalTrials.gov
PMC8983315,NCT04669535,ClinicalTrials.gov
PMC8983315,NCT04798235,ClinicalTrials.gov
PMC8983315,NCT04669535,ClinicalTrials.gov
PMC8991527,NCT04636463,ClinicalTrials.gov
